start_id|end_id|classYear
24189255817088|3009|2006
13194139534224|1958|2002
26388279072728|2211|2005
35184372096144|4521|2005
30786325581552|6483|2000
21990232557296|1580|2007
30786325579472|1959|2002
24189255816424|2212|2001
28587302322904|3014|2003
8796093026712|6799|2002
32985348833920|1633|2006
13194139538840|1851|2003
4398046515528|6148|2001
26388279068088|4743|2004
8796093024280|2835|2002
2199023255952|2945|2008
21990232556112|6541|2002
26388279070288|4996|2006
35184372094368|6205|1999
21990232561264|3010|2008
5928|5805|1998
28587302324608|6389|2001
24189255816256|2831|2001
37383395349040|6798|2008
26388279074184|6148|2003
2199023263128|6804|2003
30786325578648|1608|2005
6597069773344|4939|2003
21990232561784|7901|2006
6597069773488|5236|2000
15393162795536|2832|2002
10995116283568|3008|2008
21990232559432|6801|2004
10995116282352|5174|2004
30786325579592|6310|2002
19791209306456|2210|2001
24189255814328|2207|2009
37383395351272|5983|2005
30786325578504|3015|2006
15393162793648|2211|2005
8796093023184|3013|2009
32985348833968|5523|2006
30786325579256|3060|2006
6597069774360|2827|2005
32985348834840|3014|1999
15393162794520|2214|2005
15393162790040|4669|2008
37383395349984|1813|2003
17592186045216|5988|1998
26388279070408|5525|2003
35184372095016|4703|2004
24189255815880|4951|2010
15393162794496|2211|2007
21990232559816|2205|2002
19791209302528|4749|2004
21990232561760|5501|2006
6597069768288|3013|2002
19791209301240|1990|2010
8796093025432|7897|2006
35184372090552|5985|2000
6597069772136|4591|2006
8796093028504|2829|2008
15393162794144|1960|2002
37383395350896|2211|2001
28587302322216|1856|2007
15393162796080|2983|2004
28587302327880|1813|2002
17592186049832|1854|2001
6597069767488|7731|2005
8796093025600|2563|2002
10995116282728|5191|2004
3816|5265|2007
35184372090936|5265|2000
6597069767464|3006|2004
21990232560976|2210|2004
15393162796248|3011|2007
8796093029080|3012|1999
6597069771472|6475|2008
2199023257384|2206|2002
10995116284120|2208|2007
4398046518824|2214|2009
15393162795728|2214|2007
37383395348152|3015|2006
2199023259960|6805|2004
21990232563088|6797|2001
28587302326280|5270|2009
8796093027720|2212|2001
35184372094104|1644|2006
10995116281920|2206|2002
32985348836896|2207|2003
15393162790440|2212|2005
26388279069232|2213|2002
15393162792520|1637|2007
24189255813640|1988|2002
6597069773320|2214|2000
10995116281896|6439|2005
2199023256696|5038|2010
32985348834936|6545|2004
17592186046584|7893|2007
26388279069616|4991|2001
37383395347048|6303|2003
37383395346208|2207|2002
17592186045360|2836|1998
30786325578192|5497|2002
35184372093360|2210|1999
13194139538552|2212|2001
32985348838648|6545|2008
6597069771352|5949|2007
30786325579688|5044|2010
32985348837656|6537|2003
8796093026224|3013|2011
10995116283712|3010|2006
21990232562336|3002|2002
3744|2830|2004
8796093025240|6486|2000
10995116279776|5525|2002
8796093028840|6545|2007
28587302328024|3012|2007
6597069773632|2207|2001
2199023260728|2213|2007
24189255818680|6481|2009
26388279073536|5186|2001
13194139537152|2983|2006
19791209306552|3010|2003
8796093024048|2940|2004
3264|3014|2004
15393162795136|7951|2009
2199023260800|2205|2003
6720|4892|2007
10995116281616|2325|2011
32985348837488|3007|2003
13194139533936|3012|2001
32985348835128|5527|2002
10995116279896|5265|2006
28587302327064|1855|2005
10995116279280|2381|1998
2199023255640|2212|2002
15393162793128|1857|2009
32985348834208|3012|2004
17592186044832|5148|1998
2112|1971|1998
8796093028296|7918|2010
15393162792096|6348|2005
13194139538528|5496|1999
30786325578848|4515|2000
2199023259120|2248|2008
17592186051920|2832|2008
30786325583752|1957|2006
26388279066720|2205|2002
21990232562968|7895|2004
24189255818960|6392|2004
6597069767200|5596|2010
37383395346720|2488|2002
30786325578384|2208|1999
28587302329824|3013|2005
8796093024808|4514|2008
7488|2211|2001
24189255818440|5042|2003
15393162790088|3015|2010
15393162792288|5808|2004
4398046513016|3008|2007
30786325584768|3006|2008
24189255815552|3007|2011
21990232561456|6541|2002
26388279073632|3011|2007
