start_id|end_id
24189255817088|111
13194139534224|1011
19791209307608|549
26388279072728|422
19791209302696|1320
10995116282208|266
35184372096144|661
30786325581552|1379
21990232557296|958
15393162796104|352
35184372094608|613
30786325579472|1012
24189255816424|427
28587302322904|134
8796093026712|895
32985348833920|972
21990232557696|856
13194139538840|572
4398046515528|1323
26388279068088|677
8796093024280|612
2199023255952|1147
21990232556112|1393
26388279070288|1215
35184372094368|1333
21990232561264|289
5928|1279
28587302324608|550
24189255816256|607
37383395349040|880
8796093026008|1328
26388279074184|1322
35184372096456|728
2199023263128|907
30786325578648|978
17592186044544|126
10995116280512|449
6597069773344|1185
21990232561784|940
6597069773488|1260
15393162795536|616
10995116283568|249
2904|511
4398046515032|154
21990232559432|872
17592186047160|1264
10995116282352|1241
30786325579592|1351
2199023258712|1398
28587302323072|913
4398046513752|655
19791209300304|238
19791209306456|419
24189255814328|444
37383395351272|837
30786325578504|191
15393162793648|311
8796093023184|305
26388279072032|1359
32985348833968|797
30786325579256|219
6597069774360|634
32985348834840|237
15393162794520|314
15393162790040|1176
37383395349984|1003
17592186045216|846
6597069766944|1160
26388279070408|809
35184372095016|1172
24189255815880|1191
10995116281592|1439
15393162794496|339
21990232559816|364
19791209302528|689
21990232561760|1268
17592186051680|893
26388279073872|1297
6597069768288|248
19791209301240|1022
19791209305752|1116
8796093025432|947
37383395345968|117
35184372090552|868
6597069772136|1161
30786325583224|601
28587302330008|807
8796093028504|620
26388279067296|1253
15393162794144|1013
37383395350896|498
28587302322216|588
21990232559144|539
15393162796080|1157
28587302327880|1000
17592186049832|573
6597069767488|883
8796093025600|1116
10995116282728|1252
3816|758
35184372090936|761
6597069767464|254
21990232560976|412
15393162796248|124
8796093029080|131
6597069771472|1375
26388279069400|216
35184372092352|1420
2199023257384|399
10995116284120|484
4398046518824|507
15393162795728|432
15393162790184|1084
37383395348152|229
2199023259960|892
21990232563088|893
28587302326280|785
8796093027720|333
35184372094104|981
10995116281920|372
15393162793152|878
32985348836896|366
15393162790440|393
26388279069232|352
15393162792520|980
5160|917
24189255813640|1022
6597069773320|468
10995116281896|1304
6597069766920|1364
13194139538744|573
30786325583392|560
2199023256696|724
24189255812008|1203
32985348834936|1397
17592186046584|937
6597069769760|258
26388279069616|1205
37383395347048|1347
37383395346208|394
17592186045360|617
30786325578192|1268
35184372093360|422
13194139538552|369
32985348838648|1394
6597069771352|1312
30786325579688|745
32985348837656|1396
8796093026224|181
10995116283712|161
21990232562336|1156
3744|610
24189255818488|114
8796093025240|1382
10995116279776|820
8796093028840|1396
13194139535704|1210
28587302328024|205
6597069773632|365
2199023260728|394
21990232562168|842
24189255818680|1379
26388279073536|1248
13194139537152|1149
19791209306552|225
8796093024048|1144
3264|112
15393162795136|1451
2199023260800|416
6720|691
10995116281616|408
32985348837488|226
13194139533936|269
32985348835128|821
10995116279896|774
28587302327064|590
10995116279280|1061
2199023255640|314
30786325580440|1428
15393162793128|561
6597069770976|1177
32985348834208|259
17592186044832|1221
13194139534616|552
2112|1037
8796093028296|925
15393162792096|1360
13194139538528|1272
30786325578848|667
2199023259120|366
17592186051920|602
30786325583752|1018
26388279066720|405
21990232562968|944
19791209305136|1123
24189255818960|1372
6597069767200|815
37383395346720|1099
30786325578384|488
28587302329824|201
8796093024808|667
2544|349
7488|367
24189255818440|729
15393162790088|236
15393162792288|1281
4398046513016|236
30786325584768|244
24189255815552|189
21990232561456|1395
8796093025072|434
26388279073632|167
35184372096528|1027
37383395348368|1012
2199023261248|1362
26388279067080|183
32985348838320|1432
24189255813880|562
13194139537656|1238
17592186049712|574
19791209305608|1342
19791209299968|285
37383395345784|273
4176|816
2199023261016|1022
35184372090072|1210
10995116285504|478
21990232556376|273
17592186050864|548
30786325583152|852
37383395344464|791
8796093026832|147
19791209301952|1248
13194139534520|574
10995116278456|112
24189255812032|832
10995116278576|340
24189255814280|262
37383395349472|880
35184372093192|973
37383395349256|1027
10995116282952|633
28587302324912|677
21990232560904|565
26388279069592|828
2199023259160|1069
28587302326112|743
